00-avengers-company_business,04-iGMM-company_business
"['consumer defensive', 'personal care products', 'beauty and personal care', 'fmcg', 'consumer goods']","['consumer defensive', 'personal care products', 'beauty and personal care']"
"['financial services', 'insurance']","['communication services', 'consumer services', 'television services']"
"['technology', 'mobiles', 'mobiles & accessories', 'telecom equipment', 'network hardware and software', 'networking products / solutions', 'software and it', 'communications equipment']","['banking services', 'financial services']"
"['financial services', 'banking services']","['healthcare', 'medical equipment', 'healthcare products']"
"['healthcare', 'electronics', 'medical equipment', 'healthcare products', 'health care diagnostics']","['industries', 'engineering products', 'engines manufacturing']"
"['real estate', 'construction', 'property investments', 'hotels', 'construction', 'investments']","['real estate', 'construction', 'property investments']"
"['industries', 'engineering products', 'engines manufacturing', 'electronics', 'industry machinery']","['healthcare', 'electronics', 'medical equipment']"
"['healthcare', 'medical equipment', 'healthcare products']","['financial services', 'banking services']"
"['banking services', 'financial services']","['technology', 'mobiles', 'mobiles & accessories']"
"['communication services', 'consumer services', 'television services', 'media', 'advertising', 'broadcasting', 'entertainment']","['financial services', 'insurance']"
"['industries', 'courier', 'logistics', 'transportation', 'freight transport']","['industries', 'courier', 'logistics']"
"['utilities', 'electric utilities', 'gas utilities', 'energy', 'power generation']","['real estate', 'consumer services', 'property investments']"
"['real estate', 'consumer services', 'investments', 'property investments']","['healthcare', 'biotechnology', 'electronics']"
"['financial services', 'banking services', 'asset management']","['financial services', 'banking services', 'securities']"
"['financial services', 'securities', 'stock markets, trading, capital markets']","['conglomerate', 'investments', 'retail']"
"['financial services', 'banking services', 'asset management']","['financial services', 'banking services', 'asset management']"
"['conglomerate', 'investments', 'retail', 'real estate', 'super markets']","['financial services', 'securities', 'stock markets, trading, capital markets']"
"['financial services', 'banking services', 'securities', 'investments', 'asset management', 'commodities trading', 'stock markets, trading, capital markets']","['financial services', 'banking services', 'asset management']"
"['healthcare', 'biotechnology', 'electronics', 'medical equipment', 'technology', 'capital goods', 'healthcare products', 'healthcare service', 'health care diagnostics']","['real estate', 'consumer services', 'investments']"
"['real estate', 'consumer services', 'property investments']","['utilities', 'electric utilities', 'gas utilities']"
"['consumer defensive', 'food products', 'fmcg', 'consumer non durables', 'package foods']","['consumer defensive', 'food products', 'fmcg']"
"['real estate', 'property investments', 'investments', 'construction', 'consumer services', 'construction']","['energy', 'oil field services', 'oil and gas']"
"['financial services', 'investments', 'stock markets, trading, capital markets']","['utilities', 'electricity generation', 'electric utilities']"
"['utilities', 'electricity generation', 'electric utilities', 'energy', 'power generation', 'power generation']","['financial services', 'insurance']"
"['consumer defensive', 'personal care products', 'healthcare products', 'consumer goods', 'fmcg']","['financial services', 'banking services']"
"['consumer cyclical', 'hotels', 'casinos', 'entertainment']","['consumer cyclical', 'hotels', 'casinos']"
"['financial services', 'banking services']","['consumer defensive', 'personal care products', 'healthcare products']"
"['utilities', 'electricity generation', 'electric utilities', 'power generation', 'energy']","['utilities', 'electricity generation', 'electric utilities']"
"['financial services', 'insurance']","['financial services', 'investments', 'stock markets, trading, capital markets']"
"['energy', 'oil field services', 'oil and gas']","['real estate', 'property investments', 'investments']"
"['industries', 'infrastructure', 'shipping']","['industries', 'infrastructure', 'shipping']"
"['healthcare', 'healthcare products', 'pharmaceutical']","['technology', 'gaming', 'software and it']"
"['industries', 'railway', 'rail transport', 'railway operating company', 'freight transport', 'transportation']","['digital payment solution services', 'technology', 'financial services']"
"['healthcare', 'healthcare service', 'healthcare products']","['healthcare', 'biotechnology', 'technology']"
"['technology', 'electronics', 'semiconductors', 'mobiles', 'consumer electronics', 'mobiles & accessories']","['basic materials', 'chemicals']"
"['industries', 'railway operating company', 'infrastructure', 'construction', 'real estate', 'engineering services', 'railway', 'transportation', 'construction']","['industries', 'railway operating company', 'infrastructure']"
"['basic materials', 'chemicals']","['technology', 'electronics', 'semiconductors']"
"['healthcare', 'biotechnology', 'technology', 'healthcare products', 'medical equipment', 'health care diagnostics']","['healthcare', 'healthcare service', 'healthcare products']"
"['digital payment solution services', 'technology', 'financial services', 'software and it']","['industries', 'railway', 'rail transport']"
"['technology', 'gaming', 'software and it', 'video games / mobile games / tech games / casino games', 'software products']","['healthcare', 'healthcare products', 'pharmaceutical']"
"['financial services', 'banking services']","['financial services', 'banking services']"
"['energy', 'oil and gas', 'natural gas generation', 'petroleum']","['financial services', 'banking services']"
"['technology', 'software and it', 'software products']","['technology', 'technology hardware and instruments', 'laptops']"
"['consumer defensive', 'food products', 'retail', 'convenience stores', 'food and beverage', 'consumer goods', 'fmcg', 'package foods']","['technology', 'software and it', 'software products']"
"['financial services', 'banking services']","['financial services', 'insurance', 'asset management']"
"['consumer defensive', 'home cleaning accessories', 'personal care products', 'fmcg', 'chemicals', 'consumer durables']","['consumer defensive', 'home cleaning accessories', 'personal care products']"
"['financial services', 'insurance', 'asset management']","['financial services', 'banking services']"
"['technology', 'software and it', 'software products', 'consulting services']","['consumer defensive', 'food products', 'retail']"
"['technology', 'technology hardware and instruments', 'laptops', 'computers hardware', 'desktops', 'printers', 'software and it', 'software products', 'software consulting services', 'cloud services', 'network hardware and software', 'electronics', 'technology', 'consumer electronics', 'consulting services']","['technology', 'software and it', 'software products']"
"['financial services', 'banking services']","['energy', 'oil and gas', 'natural gas generation']"
"['utilities', 'electricity generation', 'power generation', 'electric utilities', 'energy']","['utilities', 'electricity generation', 'power generation']"
"['industries', 'electrical products', 'engines manufacturing', 'engineering products', 'engineering services', 'industry machinery']","['financial services', 'trading', 'securities']"
"['healthcare', 'biotechnology', 'biopharmaceutical', 'basic materials', 'chemicals']","['consumer cyclical', 'tyres', 'automobile parts']"
"['industries', 'construction', 'infrastructure', 'transportation', 'waste and trash management']","['basic materials', 'gold mining', 'precious metals']"
