02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry,02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
diagnostics & research,diagnostics & research,internet content & information,diagnostics & research,reitdiversified,gold,healthcare,healthcare,communication services,healthcare,real estate,healthcare,basic materials
food distribution,food distribution,reit—industrial,food distribution,insurance brokers,insurance—life,consumer staples,consumer staples,real estate,consumer staples,financials,consumer staples,financials
grocery stores,grocery stores,specialty industrial machinery,grocery stores,farm products,software—infrastructure,consumer staples,consumer staples,industrials,consumer staples,consumer staples,consumer staples,technology
insurance—life,insurance—life,packaged foods,insurance—life,confectioners,utilities—diversified,financials,financials,consumer staples,financials,consumer staples,financials,utilities
biotechnology,biotechnology,computer hardware,biotechnology,railroads,specialty industrial machinery,healthcare,healthcare,technology,healthcare,industrials,healthcare,industrials
semiconductors,semiconductors,other industrial metals & mining,semiconductors,engineering & construction,drug manufacturers—general,technology,technology,basic materials,technology,industrials,technology,healthcare
oil & gas e&p,oil & gas e&p,entertainment,oil & gas e&p,oil & gas e&p,oil & gas refining & marketing,energy,energy,communication services,energy,energy,energy,energy
oil & gas midstream,oil & gas midstream,software—application,oil & gas midstream,asset management,specialty chemicals,energy,energy,technology,energy,financials,energy,basic materials
insurance—property & casualty,insurance—property & casualty,gold,insurance—property & casualty,biotechnology,telecom services,financials,financials,basic materials,financials,healthcare,financials,communication services
banks,banks,banks,banks,"furnishings, fixtures & appliances",drug manufacturers—general,financials,financials,financials,financials,consumer discretionary,financials,healthcare
